Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
An Innovative Blockchain-Based Orchestrator for Osmotic Computing,Journal of Grid Computing,,20,1,10.1007/s10723-021-09579-7,Armando RuggeriAntonio CelestiMaria FazioMassimo Villari,2021,http://link.springer.com/article/10.1007/s10723-021-09579-7,Article
A Map-Reduce Approach for the Dijkstra Algorithm in SDN Over Osmotic Computing Systems,International Journal of Parallel Programming,,49,3,10.1007/s10766-021-00693-3,Maria FazioAlina BuzachisAntonino GallettaAntonio CelestiJiafu WanAntonella LongoMassimo Villari,2021,http://link.springer.com/article/10.1007/s10766-021-00693-3,Article
An efficient task mapping algorithm for osmotic computing-based ecosystem,International Journal of Information Technology,,13,4,10.1007/s41870-021-00715-w,Benazir NehaSanjaya Kumar PandaPradip Kumar Sahu,2021,http://link.springer.com/article/10.1007/s41870-021-00715-w,Article
Colony: Parallel Functions as a Service on the Cloud-Edge Continuum,Euro-Par 2021: Parallel Processing,,,,10.1007/978-3-030-85665-6_17,Francesc LordanDaniele LezziRosa M. Badia,2021,http://link.springer.com/chapter/10.1007/978-3-030-85665-6_17,Chapter
Artificial Intelligence  Applications  and Innovations. AIAI 2023 IFIP WG 12.5 International Workshops,IFIP Advances in Information and Communication Technology,,,,10.1007/978-3-031-34171-7,Ilias MaglogiannisLazaros IliadisAntonios PapaleonidasIoannis Chochliouros,2023,http://link.springer.com/book/10.1007/978-3-031-34171-7,Book
Service-Oriented and Cloud Computing,Lecture Notes in Computer Science,,,,10.1007/978-3-031-46235-1,George A. PapadopoulosFlorian RademacherJacopo Soldani,2023,http://link.springer.com/book/10.1007/978-3-031-46235-1,Book
Beyond Edge Computing,,,,,10.1007/978-3-031-23344-9,Ana Juan Ferrer,2023,http://link.springer.com/book/10.1007/978-3-031-23344-9,Book
Robust-PAC time-critical workflow offloading in edge-to-cloud continuum among heterogeneous resources,Journal of Cloud Computing,,12,1,10.1186/s13677-023-00434-6,Hongyun LiuRuyue XinPeng ChenHui GaoPaola GrossoZhiming Zhao,2023,http://link.springer.com/article/10.1186/s13677-023-00434-6,Article
Euro-Par 2021: Parallel Processing,Lecture Notes in Computer Science,,,,10.1007/978-3-030-85665-6,Prof. Leonel SousaNuno RomaProf. Pedro Tomás,2021,http://link.springer.com/book/10.1007/978-3-030-85665-6,Book
Towards 6G-Enabled Edge-Cloud Continuum Computing – Initial Assessment,Advanced Communication and Intelligent Systems,,,,10.1007/978-3-031-25088-0_1,Jaydip KumarJitendra K SamriyaMarek BolanowskiAndrzej PaszkiewiczWiesław PawłowskiMaria GanzhaKatarzyna Wasielewska-MichniewskaBartłomiej Solarz-NiesłuchowskiMarcin PaprzyckiIgnacio Lacalle ÚbedaCarlos E. Palau,2023,http://link.springer.com/chapter/10.1007/978-3-031-25088-0_1,Chapter
