Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Orchestration in the Cloud-to-Things compute continuum: taxonomy, survey and future directions","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00516-5","Amjad UllahTamas KissJózsef KovácsFrancesco TusaJames DeslauriersHuseyin DagdevirenResmi ArjunHamed Hamzeh","2023","http://link.springer.com/article/10.1186/s13677-023-00516-5","Article"
"Advanced Information Networking and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-28694-0","Leonard Barolli","2023","http://link.springer.com/book/10.1007/978-3-031-28694-0","Book"
"Understanding the challenges and novel architectural models of multi-cloud native applications – a systematic literature review","Journal of Cloud Computing","","12","1","10.1186/s13677-022-00367-6","Juncal AlonsoLeire Orue-EchevarriaValentina CasolaAna Isabel TorreMaider HuarteEneko OsabaJesus L. Lobo","2023","http://link.springer.com/article/10.1186/s13677-022-00367-6","Article"
"An Innovative Blockchain-Based Orchestrator for Osmotic Computing","Journal of Grid Computing","","20","1","10.1007/s10723-021-09579-7","Armando RuggeriAntonio CelestiMaria FazioMassimo Villari","2021","http://link.springer.com/article/10.1007/s10723-021-09579-7","Article"
"Artificial Intelligence  Applications  and Innovations. AIAI 2023 IFIP WG 12.5 International Workshops","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-031-34171-7","Ilias MaglogiannisLazaros IliadisAntonios PapaleonidasIoannis Chochliouros","2023","http://link.springer.com/book/10.1007/978-3-031-34171-7","Book"
"Resource Allocation Challenges in the Cloud and Edge Continuum","Advances in Computing, Informatics, Networking and Cybersecurity","","","","10.1007/978-3-030-87049-2_15","Polyzois SoumplisPanagiotis KokkinosAristotelis KretsisPetros NicopolitidisGeorgios PapadimitriouEmmanouel Varvarigos","2022","http://link.springer.com/chapter/10.1007/978-3-030-87049-2_15","Chapter"
"Advanced Information Networking and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-75078-7","Prof. Leonard BarolliDr. Isaac WoungangDr. Tomoya Enokido","2021","http://link.springer.com/book/10.1007/978-3-030-75078-7","Book"
"Service-Oriented and Cloud Computing","Lecture Notes in Computer Science","","","","10.1007/978-3-031-46235-1","George A. PapadopoulosFlorian RademacherJacopo Soldani","2023","http://link.springer.com/book/10.1007/978-3-031-46235-1","Book"
"Beyond Edge Computing","","","","","10.1007/978-3-031-23344-9","Ana Juan Ferrer","2023","http://link.springer.com/book/10.1007/978-3-031-23344-9","Book"
"Next Generation Task Offloading Techniques in Evolving Computing Paradigms: Comparative Analysis, Current Challenges, and Future Research Perspectives","Archives of Computational Methods in Engineering","","","","10.1007/s11831-023-10021-2","Abhijeet MahapatraKaushik MishraRosy PradhanSantosh Kumar Majhi","2023","http://link.springer.com/article/10.1007/s11831-023-10021-2","Article"
"Euro-Par 2021: Parallel Processing","Lecture Notes in Computer Science","","","","10.1007/978-3-030-85665-6","Prof. Leonel SousaNuno RomaProf. Pedro Tomás","2021","http://link.springer.com/book/10.1007/978-3-030-85665-6","Book"
"Advances in Computing, Informatics, Networking and Cybersecurity","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-87049-2","Assoc. Prof. Petros NicopolitidisProf. Sudip MisraProf. Dr. Laurence T. YangDr. Bernard ZeiglerProf. Zhaolng Ning","2022","http://link.springer.com/book/10.1007/978-3-030-87049-2","Book"
"Serverless Workflows for Containerised Applications in the Cloud Continuum","Journal of Grid Computing","","19","3","10.1007/s10723-021-09570-2","Sebastián RiscoGermán MoltóDiana M. NaranjoIgnacio Blanquer","2021","http://link.springer.com/article/10.1007/s10723-021-09570-2","Article"
"Robust-PAC time-critical workflow offloading in edge-to-cloud continuum among heterogeneous resources","Journal of Cloud Computing","","12","1","10.1186/s13677-023-00434-6","Hongyun LiuRuyue XinPeng ChenHui GaoPaola GrossoZhiming Zhao","2023","http://link.springer.com/article/10.1186/s13677-023-00434-6","Article"
"Product-Focused Software Process Improvement","Lecture Notes in Computer Science","","","","10.1007/978-3-031-21388-5","Davide TaibiMarco KuhrmannTommi MikkonenJil KlünderPekka Abrahamsson","2022","http://link.springer.com/book/10.1007/978-3-031-21388-5","Book"
"Software Architecture. ECSA 2022 Tracks and Workshops","Lecture Notes in Computer Science","","","","10.1007/978-3-031-36889-9","Thais BatistaTomáš BurešClaudia RaibuletHenry Muccini","2023","http://link.springer.com/book/10.1007/978-3-031-36889-9","Book"
"Advanced Information Systems Engineering Workshops","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-79022-6","Dr. Artem PolyvyanyyStefanie Rinderle-Ma","2021","http://link.springer.com/book/10.1007/978-3-030-79022-6","Book"
"Infrastructure Manager: A TOSCA-Based Orchestrator for the Computing Continuum","Journal of Grid Computing","","21","3","10.1007/s10723-023-09686-7","Miguel CaballerGermán MoltóAmanda CalatravaIgnacio Blanquer","2023","http://link.springer.com/article/10.1007/s10723-023-09686-7","Article"
"Dynamic scheduling of heterogeneous resources across mobile edge-cloud continuum using fruit fly-based simulated annealing optimization scheme","Neural Computing and Applications","","34","16","10.1007/s00521-022-07260-y","Danlami GabiNasiru Muhammad DankoloAbubakar Atiku MuslimAjith AbrahamMuhammad Usman JodaAnazida ZainalZalmiyah Zakaria","2022","http://link.springer.com/article/10.1007/s00521-022-07260-y","Article"
"Research Challenges in Information Science: Information Science and the Connected World","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-33080-3","Selmin NurcanAndreas L. OpdahlHaralambos MouratidisAggeliki Tsohou","2023","http://link.springer.com/book/10.1007/978-3-031-33080-3","Book"
"Advanced Communication and Intelligent Systems","Communications in Computer and Information Science","","","","10.1007/978-3-031-25088-0","Rabindra Nath ShawMarcin PaprzyckiAnkush Ghosh","2023","http://link.springer.com/book/10.1007/978-3-031-25088-0","Book"
"A Survey on the Security and the Evolution of Osmotic and Catalytic Computing for 5G Networks","5G Enabled Secure Wireless Networks","","","","10.1007/978-3-030-03508-2_3","Gaurav ChoudharyVishal Sharma","2019","http://link.springer.com/chapter/10.1007/978-3-030-03508-2_3","Chapter"
"The Cloud Continuum for Military Deployable Networks: Challenges and Opportunities","Computer Security. ESORICS 2022 International Workshops","","","","10.1007/978-3-031-25460-4_29","Elisa RojasDiego Lopez-PajaresJoaquin Alvarez-HorcajoSalvador Llopis Sánchez","2023","http://link.springer.com/chapter/10.1007/978-3-031-25460-4_29","Chapter"
"Applications of MLOps in the Cognitive Cloud Continuum","Product-Focused Software Process Improvement","","","","10.1007/978-3-031-21388-5_51","Sergio Moreschini","2022","http://link.springer.com/chapter/10.1007/978-3-031-21388-5_51","Chapter"
"Web Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-031-34444-2","Irene GarrigósJuan Manuel Murillo RodríguezManuel Wimmer","2023","http://link.springer.com/book/10.1007/978-3-031-34444-2","Book"
"pacce: Perl algorithm to compute continuum and equivalent widths","Astrophysics and Space Science","","334","2","10.1007/s10509-011-0731-9","Rogério RiffelTibério Borges Vale","2011","http://link.springer.com/article/10.1007/s10509-011-0731-9","Article"
"Towards Characterization of Edge-Cloud Continuum","Software Architecture. ECSA 2022 Tracks and Workshops","","","","10.1007/978-3-031-36889-9_16","Danylo KhalyeyevTomas BurešPetr Hnětynka","2023","http://link.springer.com/chapter/10.1007/978-3-031-36889-9_16","Chapter"
"MiCADO-Edge: Towards an Application-level Orchestrator for the Cloud-to-Edge Computing Continuum","Journal of Grid Computing","","19","4","10.1007/s10723-021-09589-5","Amjad UllahHuseyin DagdevirenResmi C. AriyattuJames DesLauriersTamas KissJames Bowden","2021","http://link.springer.com/article/10.1007/s10723-021-09589-5","Article"
"Cloud-Network Slicing MANO Towards an Efficient IoT-Cloud Continuum","Journal of Grid Computing","","19","4","10.1007/s10723-021-09588-6","Douglas B. MacielEmidio P. NetoKevin B. CostaMathews P. LimaVitor G. LopesAugusto V. NetoFelipe S. Dantas SilvaSilvio C. Sampaio","2021","http://link.springer.com/article/10.1007/s10723-021-09588-6","Article"
"Innovations in Electrical and Electronic Engineering","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-1677-9","Prof. Saad MekhilefDr. Rabindra Nath ShawProf. Pierluigi Siano","2022","http://link.springer.com/book/10.1007/978-981-19-1677-9","Book"
"Service-Oriented Computing","Lecture Notes in Computer Science","","","","10.1007/978-3-031-20984-0","Javier TroyaBrahim MedjahedMario PiattiniLina YaoPablo FernándezAntonio Ruiz-Cortés","2022","http://link.springer.com/book/10.1007/978-3-031-20984-0","Book"
"Technologies and Applications for Big Data Value","","","","","10.1007/978-3-030-78307-5","Dr. Edward CurryProf. Dr. Sören AuerDr. Arne J. BerreDr. Andreas MetzgerProf. Maria S. PerezProf. Sonja Zillner","2022","http://link.springer.com/book/10.1007/978-3-030-78307-5","Book"
"Service-Oriented Computing – ICSOC 2022 Workshops","Lecture Notes in Computer Science","","","","10.1007/978-3-031-26507-5","Javier TroyaRaffaela MirandolaElena NavarroAndrea DelgadoSergio SeguraGuadalupe OrtizCesare PautassoChristian ZirpinsPablo FernándezAntonio Ruiz-Cortés","2023","http://link.springer.com/book/10.1007/978-3-031-26507-5","Book"
"Availability model for edge-fog-cloud continuum: an evaluation of an end-to-end infrastructure of intelligent traffic management service","The Journal of Supercomputing","","78","3","10.1007/s11227-021-04033-7","Paulo PereiraCarlos MeloJean AraujoJamilson DantasVinícius SantosPaulo Maciel","2022","http://link.springer.com/article/10.1007/s11227-021-04033-7","Article"
